NCT Number,Study Title
NCT01999348,A Study of GANFORT® UD in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT) in a Medical Setting
NCT05163951,Trabeculectomy Versus Peripheral Iridectomy Plus Goniotomy in Advanced PACG
NCT04200651,Prospective Study on DEXTENZA® Safety And Efficacy Following Concomitant MIGS and Cataract Surgery
NCT01440751,Comparative Study of Ologen Collagen Matrix Versus Mitomycin-C in Glaucoma Filtering Surgery
NCT01155219,Safety Efficacy Assessment of Geltim LP® 1 mg/g in Ocular Hypertensive or Glaucomatous Patients.
NCT03250819,Gene Polymorphisms of Corticosteroid-induced Ocular Hypertension
NCT00429819,Neurovascular Coupling in Eyes of Glaucoma Patients
NCT04741919,Superior vs Temporal Laser Peripheral Iridotomy in Primary Angle Closure Suspects (PACS)
NCT02260219,Comparative Study Safety and Efficacy Ahmed Glaucoma Drainage Device Model M4 Model S2 in Neovascular Glaucoma
NCT00069719,Phase II Safety and Efficacy Study to Evaluate a Glaucoma Therapy in Open-Angle Glaucoma or Ocular Hypertension Patients
NCT04517786,MINIject (MINI SO627) in Patients With Open Angle Glaucoma Using Single Operator Delivery Tool
NCT03519386,Randomized Study Comparing Two Models of a Travoprost Intraocular Implant to Timolol Maleate Ophthalmic Solution 0.5%
NCT03034486,The Pharmacokinetics of D565 and the Drug Effect of D565 on Pharmacokinetic Characteristics of D930
NCT00761319,Phase III Clinical Trial of TRAVATAN Z in Ocular Surface Health
NCT01215786,Safety and Pharmacodynamics Study of AGN-207281 Ophthalmic Solutions Compared With Timolol Ophthalmic Solution or Placebo in Patients With Ocular Hypertension or Primary Open-Angle Glaucoma
NCT03634319,Early Evaluation of the Beacon Aqueous Microshunt in Patients Refractory to Drug Therapy in the European Union
NCT05916066,Nicotinamide and Glaucoma
NCT01271686,24-hour IOP-lowering Effect of 0.01% Bimatoprost
NCT03369886,The Relationship Between Macular OCTA and GCIPL and Their Combinational Index Using AI
NCT05351307,Retinal Vascular Changes in Primary Open Angle Glaucoma Patients
NCT01279083,Safety and Efficacy Trial to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT03682783,Artificial Intelligence-assisted Glaucoma Screening (AIAGS)
NCT05397600,Efficacy and Safety Assessment of T4032 (Unpreserved Bimatoprost 0.01%) Versus Lumigan® 0.01% in Ocular Hypertensive or Glaucomatous Patients
NCT02376114,Ginkgo Biloba and Ocular Blood Flow in Primary Open-angle Glaucoma
NCT02278614,Efficacy and Safety Assessment of T2347 Versus Xalacom® in Ocular Hypertensive or Glaucomatous Patients
NCT04552314,Bleb Vascularity and the Outcomes After Trabeculectomy
NCT01448837,24-Hour Intraocular Pressure Control With Bimatoprost/Timolol Versus Latanoprost as First Choice
NCT01252914,A Prospective Evaluation of Open-Angle Glaucoma Subjects on Two Topical Hypotensive Medications Treated With One Suprachoroidal Stent
NCT05437614,Comparison of Outcome and Effectiveness Between Micropulse Diode Laser Cyclophotocoagulation and Cyclocryoablation in Treatment of Refractory Glaucoma
NCT04333433,PRESERFLO® MicroShunt Extension Study
NCT03193333,PRO-122 Versus Concomitant Therapy in Subjects With Uncontrolled Primary Open-angle Glaucoma (PRO-122LATAM)
NCT01735214,An Observational Study of Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT) Who Switched IOP-lowering Treatments
NCT02911883,Evaluation of the Repeatability and Reproducibility of AngioVue
NCT02802137,24-hour Efficacy and Ocular Surface With Talfuprost and Triple Combined Therapy
NCT01696383,Assessing the Efficacy of DuoTrav as a Replacement Therapy in Glaucoma Patients in Russia
NCT01721707,Latanoprost/Brinzolamide BID Versus Latanoprost BID in Patients With OAG or OH
NCT00847483,Comparison of Latanoprost With Travoprost and Bimatoprost in Patients With Elevated IOP. A 12-weeks Masked Evaluator Phase IV Multi-center Study in the US
NCT02406833,Phase I Dose Escalation Study to Investigate the Safety of ISTH0036 in Subjects With Glaucoma Undergoing Trabeculectomy
NCT01758237,Dysphotopsia Following Laser Peripheral Iridotomy
NCT01628614,A Study of Intraocular Pressure (IOP) Reduction in Newly Diagnosed Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT03648814,Intracameral Versus Intravitreal Bevacizumab Injection in NVG: RCT
NCT02989207,Surgical Approaches in Treating Uncontrolled Glaucoma in Black African and African-Caribbeans
NCT04328207,Providing Financial Incentives to Improve Adherence to Referral Eye Care Visits
NCT00441883,Dose-Finding Study Comparing the Safety and Efficacy of Latanoprost to a Novel Treatment for Glaucoma
NCT00801437,Non Interventional Study With Primary Open Angle Glaucoma and/or Ocular Hypertension Patients Treated With Xalacom® After Failure of Previous Antiglaucoma Therapy.
NCT04519814,Safety and Effectiveness of VISULAS Green Selective Laser Trabeculoplasty (SLT)
NCT00326014,A Study of the Trabecular Micro-Bypass Stent in Combination With Cataract Surgery in Open Angle Glaucoma Subjects.
NCT03613233,QoL Assessment in Traditional Glaucoma Surgery and MIGS.
NCT00349414,Safety Study of Conventional Versus Micropulse Transscleral Cyclophotocoagulation in Treating End-Stage Glaucoma
NCT01159314,Baerveldt Plate Area Comparison (BPAC)
NCT00556114,A Pilot Study of Functional Optical Coherence Tomography for Ocular Imaging
NCT00338533,Endoscopic Goniotomy for Infantile Glaucoma
NCT05753137,A Clinical Trial of Acupuncture as Adjuvant Therapy for Glaucoma
NCT00676637,Glaucoma Adherence Study
NCT00652483,Safety and Efficacy Study of Brimonidine in Patients With Glaucoma or Ocular Hypertension
NCT03452033,H-1337 Ophthalmic Solution Phase 1/2
NCT00434707,Outcome of Small Pupil Phacotrabeculectomy in Persons With Glaucoma and Cataract
NCT00452283,Changes in Eye Pressure and Anterior Chamber Depth With Oral Endothelin Antagonist Therapy
NCT03896633,Therapeutic Equivalence Study of Generic Brinzolamide vs Azopt
NCT03273907,Post Approval Study of the CyPass System
NCT02908633,Safety and Efficacy of Three Variants of Canaloplasty With Phacoemulsification to Treat Glaucoma and Cataract
NCT00626067,Study of Patient Use and Perception of the Travatan Dosing Aid
NCT00990743,Tolerance and Effect on Intraocular Pressure After Administration of SYL040012
NCT02990143,The Effectiveness of Ologen® Collagen Matrix in Preventing Intraocular Pressure (IOP) Spikes After Ahmed Glaucoma Valve Surgery (AGV-FP7)
NCT04742283,Multicenter Study Assessing the Efficacy and Safety of DE-126 Ophthalmic Solution 0.002% Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension
NCT00661583,Use of Ranibizumab With Mitomycin C During Trabeculectomy
NCT05857267,Dorzolamide+Timolol Multidose Preservative-free vs Dorzolamida+Timolol BAK Preserved Efficacy and Safety
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy
NCT03469297,Early Feasibility Study of the Brown Glaucoma Implant in Patients With Severe Visual Impairment or No Light Perceived
NCT01338467,Glaucoma Treatment by Circular Cyclocoagulation Using High Intensity Focused Ultrasound With the EYEOP Medical Device
NCT01162356,Prospective Retinal and Optic Nerve Vitrectomy Evaluation (PROVE) Study
NCT00221897,Diagnostic Innovations in Glaucoma Study
NCT04830397,Study to Evaluate QLS-101 Compared to Timolol Maleate Eye Drops in Subjects With High Eye Pressure (Glaucoma or Ocular Hypertension).
NCT04485897,Self-monitoring of the Intraocular Pressure Versus Hospital-based Diurnal Monitoring
NCT05469867,Pivotal Trial for a Synthetic Tissue Substitute for Concealment of Artificial Ocular Implants
NCT00410267,Trial Comparing Ketorolac Tromethamine 0.4% & Prednisolone Acetate 1% in Reducing Post-SLT Anterior Chamber Flare & Cells
NCT04422743,Effect of Citicoline/Homotaurine on PERG in Primary Open Angle Glaucoma
NCT06143943,Anterior Segment Anatomic Parameters for Risk Profiling of Primary Angle-closure Glaucoma
NCT00672997,A Phase III Study of Travoprost/Timolol Combination in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT02947867,Trial of Aganirsen in iCRVO Patients at Risk of Developing NVG
NCT01266343,Comparison of Anterior Chamber Paracentesis and Conventional Mannitol Infusion in Patients With Primary Acute Angle-closure Glaucoma
NCT02490267,Quality of Life in Children Glaucoma and Cataract
NCT01446497,Efficacy and Safety Study of Combigan and 0.5% Timoptic in Normal Tension Glaucoma
NCT00312403,Polymorphisms in the Human Matrix Metalloproteinase Genes MMP1 MMP3 and MMP9: Genetic Risk Factors of Primary Open Angle Glaucoma?
NCT02792803,A Comparison of Xalatan (Latanoprost) to Apo-latanoprost and Co-latanoprost in the Treatment of Glaucoma
NCT00803803,Dose Effects and Characteristics of Pilocarpine
NCT01640756,AqueSys Microfistula Implant in Refractory Glaucoma
NCT00665756,Comparison of Efficacy Between Silicone Ahmed Glaucoma Valves and Second Trabeculectomy in Glaucoma Patients
NCT05011747,Viscotrabeculotomy in Pediatric Glaucoma Following Cataract Surgery
NCT05340647,NorMIGS - a Study of Micro-invasive Glaucoma Surgery
NCT03159247,The eyeGuide: Improving Glaucoma Self-management With a Personalized Behavior Change Program
NCT03515187,Study on Prevention and Treatment of Dry Eye in Patients Using Glaucoma Drops
NCT03255785,Open-Angle Glaucoma Subjects With Cataract Treated With Cataract Surgery Plus One iStent and One iStent Supra
NCT04624685,iStent Inject Trabecular Micro-Bypass System Continuation Post-Approval Study
NCT05130385,High Resolution Optical Coherence Tomography
NCT05131087,A First-In-Human Clinical Trial to Evaluate the Safety Effectiveness and Surgical Characteristics of CADENCE in Patients With Refractory Glaucoma
NCT04911387,iCare® Home vs Goldmann Applanation Tonometry
NCT01123785,A Dose-Escalation Study Designed to Evaluate the Tolerability Safety Pharmacokinetics (PK) and Efficacy of Chronic Topical Ocular Application of INO-8875 in Adults With Ocular Hypertension or Primary Open-Angle Glaucoma
NCT02507687,Comparison of Bimatoprost SR to Selective Laser Trabeculoplasty in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT05685485,Tied Tube Trial in Glaucoma Surgery
NCT00477685,Ologen (OculusGen)-Phacotrabeculectomy Historical Control Study in India
NCT00626847,How Does Your Genetic Make-up (Profile) Influence Your Glaucoma?
NCT05370287,Adaptive Optics Retinal Imaging
NCT01853085,A Study of Patients With Primary Open Angle Glaucoma or Ocular Hypertension Switched to Lumigan® UD Monotherapy for Medical Reasons
NCT04910100,Nebivolol 0.5 1.0 or Timolol 0.5 Suspension Compared to Timolol 0.5 Solution to Treat Glaucoma/Ocular Hypertension
NCT04743622,Comparison of Efficacy and Ocular Surface Disease Assessment Between Monoprost and BAK-preserved Latanoprost
NCT04646122,Predicting Glaucoma Progression With Optical Coherence Tomography Structural and Angiographic Parameters.
NCT04430647,Phaco-UCP Versus Phaco Alone for OAG and Cataract
NCT02178085,Ocular Blood Flow Assessment in Glaucoma
NCT03611387,Artificial Intelligence Screening on Patients With Primary Angle Closure Glaucoma
NCT00803387,Dry Eye and Irritation Comparison of Latanoprost With the Preservative Versus Travoprost Without Preservative
NCT01273285,Reproducibility of Nerve Fiber Layer Thickness Measurements in Patients With Glaucoma and Healthy Controls Using Spectral-Domain and Time-Domain OCT
NCT00121147,Additivity Study: Additive Effect on Eye Pressure of Azopt and Alphagan P to Travatan
NCT04750447,Safety and Efficacy of an Ab Interno Gelatin Stent (XEN63) With or Without Mitomycin C
NCT01027247,OculusGen™ Collagen Matrix Implant for Phaco-Trabeculectomy in Primary Glaucoma: a Case-Control Study
NCT03944447,Outcomes Mandate National Integration With Cannabis as Medicine
NCT01908985,Ocular Fluorophotometry for Glaucoma Treated With Cyclo-coagulation Using High Intensity Focused Ultrasound (HIFU).
NCT02105285,Efficacy and Safety Study of OPC-1085EL Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension
NCT01930487,The Effects of an Antioxidant Formulation on Ocular Blood Flow
NCT01298687,Divided Dose of TRAVATAN®
NCT03657147,Improving African American Glaucoma Patient Involvement in Visits and Outcomes
NCT00706056,A New View of Normal Tension Glaucoma: Autoregulation and Systemic Blood Pressure
NCT05455567,OCTA Study of Choroidal Vasculature in Open Angle Glaucoma Patients
NCT04468633,The Baerveldt Versus ClearPath Comparison Study
NCT03505567,Study to Compare Kowa OCT Bi-μ and the Optovue iVue 100
NCT03759483,Diagnostic Efficacy of CNN in Differentiation of Visual Field
NCT01051583,Avastin as an Adjunct to Diode Laser in the Treatment of Neovascular Glaucoma
NCT01799707,Vision Restoration Training in Glaucoma
NCT01917383,A Phase II Study to Evaluate the Additivity of Trabodenoson to Latanoprost in Adults With Ocular Hypertension or Primary Open-Angle Glaucoma
NCT02512133,MIGS VS SLT Comparison in Glaucoma Patients
NCT02049333,Cataract Surgery vs Cataract Surgery With ECPL for Treatment of Plateau Iris Configuration or Syndrome
NCT01299233,Reproducibility of RNFL Circle Scans With ART-Function of Heidelberg Spectralis SD-OCT Software Version 5.3
NCT01563237,Safety and Performance of Miami InnFocus Drainage Implant (MIDI Arrow) Glaucoma Drainage Implant
NCT01923714,Impact of a Tolerability Switch to Dorzolamide/Timolol Preservative-free Fixed Combination on Ocular Surface Symptoms
NCT01814514,Safety Study of Aqueous Suppression After Ahmed Glaucoma Valve (AGV) Implantation
NCT01076114,Comparison of Critical Flicker Fusion Versus Automated Visual Fields in the Detection of Early Glaucoma
NCT02967614,KJ-TFC-004 Drug-drug Interaction Study
NCT01975714,Intraocular Pressure and Tolerability Study of Preservative-free Prostaglandins (Bimatoprost and Latanoprost) on Glaucoma and Ocular Hypertension: European Multicentric Investigator-led Single Masked Study
NCT04284514,Study to Evaluate the Safety Tolerability Pharmacokinetics and Pharmacodynamics of AKB-9778 Ophthalmic Solution
NCT01841437,Glaukos® iStent® Trabecular Micro-Bypass Stent System In Conjunction With Cataract Surgery Postmarket Registry
NCT00286637,Novel Diagnostics for Ocular Structure
NCT00666237,Primary Tube Versus Trabeculectomy Study
NCT05030714,Evaluation of a Novel Head-Mounted Device for Glaucoma Testing: A Proof-of-Concept Study
NCT01340014,Patient Preference Comparison of AZARGA Versus COSOPT
NCT00487214,Internet-based Naturalistic Evaluation of Tolerability and Individual Patient Target Pressures With Bimatoprost 0.03% in Glaucoma
NCT05954637,Correlation of Structure and Function in Glaucoma
NCT02629237,Satisfaction After Glaucoma Surgery in Rural China
NCT02061683,A Study of Bimatoprost in the Treatment of Primary Open Angle Glaucoma and Ocular Hypertension
NCT02558400,Double-masked Study of PG324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT05885022,Feasibility Clinical Evaluation of the Calibreye System
NCT04214847,The Outcome of Ahmed Glaucoma Valve in Difficult Glaucoma Cases
NCT05523622,Comparison of Intraocular Pressure Measurement With the Novel TonoVera Device With Other Commonly Used Devices
NCT00981422,Search for Biomarkers in Human Glaucoma: Lymphocytes Alterations and Rate of Progression
NCT04475900,Computer-aided Diagnosis of Ocular Diseases Based on Corneal Biomechanics
NCT00708422,Effects of Travatan Z and Xalatan on Ocular Surface Health
